,売りたい家の数,0,買いたい家の数,0,
,売れた家の数,0,買えた家の数,0,
,総取引における距離の平均,1666.0,合算地,15000,何番目に好きな人に売れたの平均,5.0,何番目に好きな人から買えたの平均,2.0
,売りたい家の数,10,買いたい家の数,10,
,売れた家の数,10,買えた家の数,10,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Truman,Hoover,1500,257501,1,1
,Ford,Roosevelt,1000,115201,1,7
,Coolidge,Kennedy,2000,74801,1,9
,Jackson,Clinton,2500,198001,2,6
,Polk,Mckinley,2500,336001,1,1
,Buchanan,Taylor,1000,247901,2,4
,Grant,Pierce,1500,74801,1,8
,Hayes,Johnson,5000,218700,2,5
,Arthur,Garfield,500,309801,2,2
,Cleveland,Bush,2500,33801,1,10
,総取引における距離の平均,2000.0,合算地,20000,何番目に好きな人に売れたの平均,5.0,何番目に好きな人から買えたの平均,1.0
,売りたい家の数,10,買いたい家の数,4,
,売れた家の数,4,買えた家の数,4,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Roosevelt,Jackson,3000,108000,1,4
,Hoover,Tyler,1500,257501,3,3
,Clinton,Cleveland,2000,348001,1,1
,Taylor,Buchanan,1000,264801,2,2
,総取引における距離の平均,1875.0,合算地,7500,何番目に好きな人に売れたの平均,2.0,何番目に好きな人から買えたの平均,1.0
,売りたい家の数,3,買いたい家の数,2,
,売れた家の数,2,買えた家の数,2,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Jefferson,Reagan,1000,45800,1,2
,Tyler,Coolidge,1000,312801,1,1
,総取引における距離の平均,1000.0,合算地,2000,何番目に好きな人に売れたの平均,1.0,何番目に好きな人から買えたの平均,1.0
,売りたい家の数,3,買いたい家の数,5,
,売れた家の数,3,買えた家の数,3,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Madison,Jefferson,500,26401,1,3
,Lincoln,Eisenhower,3500,108001,1,2
,Harrison,Johnson,4000,309800,1,1
,総取引における距離の平均,2666.0,合算地,8000,何番目に好きな人に売れたの平均,2.0,何番目に好きな人から買えたの平均,1.0
,売りたい家の数,9,買いたい家の数,7,
,売れた家の数,7,買えた家の数,7,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Johnson,Harrison,4000,245001,1,1
,Eisenhower,Lincoln,3500,158801,2,4
,Bush,Madison,2000,108001,2,5
,Reagan,Buren,2000,69801,4,6
,Taft,Adams,1500,193301,2,2
,Garfield,Washington,4500,33801,1,7
,総取引における距離の平均,2916.0,合算地,17500,何番目に好きな人に売れたの平均,4.0,何番目に好きな人から買えたの平均,2.0
,売りたい家の数,14,買いたい家の数,5,
,売れた家の数,5,買えた家の数,5,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Adams,Mckinley,1500,232701,1,1
,Washington,Fillmore,3000,97000,2,3
,Buren,Pierce,2500,94401,2,4
,Cleveland,Garfield,1000,33801,1,5
,総取引における距離の平均,2000.0,合算地,8000,何番目に好きな人に売れたの平均,3.0,何番目に好きな人から買えたの平均,1.0
,売りたい家の数,14,買いたい家の数,3,
,売れた家の数,3,買えた家の数,3,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Fillmore,Buchanan,2500,168000,3,3
,Pierce,Cleveland,3500,309801,1,1
,Mckinley,Grant,1000,302401,2,2
,総取引における距離の平均,2333.0,合算地,7000,何番目に好きな人に売れたの平均,2.0,何番目に好きな人から買えたの平均,2.0
,売りたい家の数,11,買いたい家の数,6,
,売れた家の数,6,買えた家の数,6,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Nixson,Monroe,2500,309801,2,3
,Truman,Jackson,2500,257501,3,4
,Polk,Jefferson,3500,336001,1,1
,Buchanan,Tyler,3000,247901,2,5
,Grant,Coolidge,2000,74800,6,6
,Arthur,Taylor,4500,309801,1,2
,総取引における距離の平均,3000.0,合算地,18000,何番目に好きな人に売れたの平均,3.0,何番目に好きな人から買えたの平均,2.0
,売りたい家の数,11,買いたい家の数,10,
,売れた家の数,10,買えた家の数,10,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Kennedy,Harrison,3500,94401,4,7
,Roosevelt,Truman,500,108001,2,6
,Ford,Madison,1000,115201,1,4
,Obama,Hoover,1000,45801,1,10
,Coolidge,Nixson,1500,74800,5,8
,Monroe,Taft,2000,108001,1,5
,Jackson,Polk,2000,198001,3,3
,Taylor,Arthur,4500,264801,2,2
,総取引における距離の平均,2000.0,合算地,16000,何番目に好きな人に売れたの平均,5.0,何番目に好きな人から買えたの平均,2.0
,売りたい家の数,10,買いたい家の数,8,
,売れた家の数,8,買えた家の数,8,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Taft,Reagan,1000,193301,1,8
,Hoover,Obama,1000,257501,3,4
,Carter,Ford,500,302401,3,3
,Jefferson,Garfield,4000,45801,4,7
,Lincoln,Roosevelt,3000,108001,2,6
,Harrison,Hayes,1000,309801,2,2
,総取引における距離の平均,1750.0,合算地,10500,何番目に好きな人に売れたの平均,5.0,何番目に好きな人から買えたの平均,2.0
,売りたい家の数,9,買いたい家の数,5,
,売れた家の数,5,買えた家の数,5,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Reagan,Lincoln,2500,2,1,5
,Madison,Buren,1500,2,2,2
,Tyler,Washington,3500,2,3,3
,Hayes,Clinton,3500,2,4,4
,Garfield,Carter,3000,2,5,5
,総取引における距離の平均,2800.0,合算地,14000,何番目に好きな人に売れたの平均,3.0,何番目に好きな人から買えたの平均,3.0
,売りたい家の数,5,買いたい家の数,6,
,売れた家の数,5,買えた家の数,5,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Eisenhower,Bush,500,2,4,5
,Clinton,Pierce,3500,2,1,1
,Washington,Fillmore,3000,2,2,2
,Buren,Taft,2000,2,3,3
,Cleveland,Kennedy,3000,2,5,4
,総取引における距離の平均,2400.0,合算地,12000,何番目に好きな人に売れたの平均,3.0,何番目に好きな人から買えたの平均,3.0
