,売りたい家の数,0,買いたい家の数,0,
,売れた家の数,0,買えた家の数,0,
,売りたい家の数,12,買いたい家の数,5,
,売れた家の数,5,買えた家の数,5,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Obama,Adams,1000,45800,3,4
,Coolidge,Tyler,1000,74801,1,3
,Pierce,Jackson,2000,309801,1,1
,Cleveland,Washington,3500,33801,1,5
,Harrison,Buchanan,2500,309801,2,2
,総取引における距離の平均,2000.0,合算地,10000,何番目に好きな人に売れたの平均,3.0,何番目に好きな人から買えたの平均,1.0
,売りたい家の数,10,買いたい家の数,8,
,売れた家の数,8,買えた家の数,8,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Bush,Obama,1000,108001,1,7
,Ford,Clinton,2500,115201,1,5
,Adams,Coolidge,500,232701,3,3
,Washington,Kennedy,2500,97000,8,8
,Jackson,Taft,2500,198001,2,4
,Tyler,Polk,500,312801,1,1
,Buchanan,Jefferson,1000,247901,1,2
,Lincoln,Truman,2500,108001,4,7
,総取引における距離の平均,1625.0,合算地,13000,何番目に好きな人に売れたの平均,4.0,何番目に好きな人から買えたの平均,2.0
,売りたい家の数,7,買いたい家の数,6,
,売れた家の数,6,買えた家の数,6,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Reagan,Eisenhower,1000,69800,4,5
,Truman,Bush,1500,257501,4,4
,Carter,Nixson,1500,302401,2,1
,Clinton,Lincoln,2500,348001,1,1
,Jefferson,Kennedy,2000,45801,1,6
,Polk,Ford,3000,336001,2,2
,総取引における距離の平均,1916.0,合算地,11500,何番目に好きな人に売れたの平均,3.0,何番目に好きな人から買えたの平均,2.0
,売りたい家の数,3,買いたい家の数,5,
,売れた家の数,3,買えた家の数,3,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Grant,Reagan,3000,74800,2,3
,Arthur,Hoover,2000,309801,1,1
,Mckinley,Carter,2000,302401,1,2
,総取引における距離の平均,2333.0,合算地,7000,何番目に好きな人に売れたの平均,2.0,何番目に好きな人から買えたの平均,1.0
,売りたい家の数,6,買いたい家の数,5,
,売れた家の数,5,買えた家の数,5,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Johnson,Garfield,2500,245001,1,1
,Kennedy,Grant,4000,94401,5,5
,Roosevelt,Taylor,1500,108000,2,4
,Nixson,Mckinley,3500,309801,1,1
,Hoover,Arthur,2000,257501,2,2
,総取引における距離の平均,2700.0,合算地,13500,何番目に好きな人に売れたの平均,2.0,何番目に好きな人から買えたの平均,2.0
,売りたい家の数,8,買いたい家の数,5,
,売れた家の数,5,買えた家の数,5,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Eisenhower,Obama,1500,158800,2,3
,Coolidge,Fillmore,500,74801,2,4
,Taylor,Pierce,500,264801,1,1
,Garfield,Monroe,3000,33801,2,5
,総取引における距離の平均,1375.0,合算地,5500,何番目に好きな人に売れたの平均,3.0,何番目に好きな人から買えたの平均,1.0
,売りたい家の数,12,買いたい家の数,7,
,売れた家の数,7,買えた家の数,7,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Obama,Adams,1000,45801,6,7
,Monroe,Washington,1500,108001,2,6
,Jackson,Buchanan,1500,198001,1,4
,Tyler,Harrison,1500,312801,1,1
,Fillmore,Madison,2000,168001,4,5
,Pierce,Lincoln,1000,309801,2,2
,Hayes,Coolidge,2500,218700,2,3
,総取引における距離の平均,1571.0,合算地,11000,何番目に好きな人に売れたの平均,4.0,何番目に好きな人から買えたの平均,2.0
,売りたい家の数,11,買いたい家の数,10,
,売れた家の数,10,買えた家の数,10,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Carter,Ford,500,302401,1,4
,Clinton,Truman,3000,348001,1,1
,Adams,Tyler,1500,232701,3,6
,Washington,Roosevelt,1000,97001,3,8
,Madison,Reagan,1500,26401,2,10
,Polk,Bush,2000,336001,1,2
,Buren,Eisenhower,3000,94400,5,9
,Buchanan,Hayes,1500,247901,2,5
,Lincoln,Jackson,1000,108001,1,1
,Harrison,Cleveland,500,309801,1,1
,総取引における距離の平均,1550.0,合算地,15500,何番目に好きな人に売れたの平均,4.0,何番目に好きな人から買えたの平均,2.0
,売りたい家の数,9,買いたい家の数,5,
,売れた家の数,5,買えた家の数,5,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Bush,Grant,3500,108001,3,3
,Reagan,Buren,2000,69801,4,4
,Truman,Mckinley,3000,257501,1,1
,Ford,Arthur,3000,115201,2,2
,Cleveland,Polk,1500,33800,5,5
,総取引における距離の平均,2600.0,合算地,13000,何番目に好きな人に売れたの平均,3.0,何番目に好きな人から買えたの平均,3.0
,売りたい家の数,6,買いたい家の数,3,
,売れた家の数,3,買えた家の数,3,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Grant,Carter,2000,74800,3,3
,Arthur,Jefferson,3500,309801,1,1
,Mckinley,Clinton,3000,302401,2,2
,総取引における距離の平均,2833.0,合算地,8500,何番目に好きな人に売れたの平均,2.0,何番目に好きな人から買えたの平均,2.0
,売りたい家の数,7,買いたい家の数,1,
,売れた家の数,1,買えた家の数,1,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Jefferson,Garfield,4000,1,1,1
,総取引における距離の平均,4000.0,合算地,4000,何番目に好きな人に売れたの平均,1.0,何番目に好きな人から買えたの平均,1.0
,売りたい家の数,7,買いたい家の数,6,
,売れた家の数,6,買えた家の数,6,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Eisenhower,Coolidge,2000,2,2,6
,Roosevelt,Taft,1500,2,1,1
,Hoover,Fillmore,1000,2,2,2
,Obama,Pierce,3000,2,2,4
,Taylor,Tyler,4000,2,2,3
,総取引における距離の平均,2300.0,合算地,11500,何番目に好きな人に売れたの平均,3.0,何番目に好きな人から買えたの平均,1.0
